group_id,user_id
1,45923
1,65366
2,137449
2,171251
3,46400
3,167183
4,192264
4,199257
5,6959
5,67161
6,20940
6,167765
7,43544
7,159020
7,166136
8,30779
8,168511
9,69797
9,135254
10,11995
10,75799
10,185300
11,25609
11,185077
12,32195
12,37782
12,41085
13,8165
13,171756
14,9435
14,197853
15,48448
15,75359
16,76134
16,181086
17,27668
17,95990
17,115864
18,90675
18,159366
18,166934
19,112067
19,163771
19,172901
20,54468
20,64518
20,86893
20,175379
21,64628
21,89051
21,183989
22,142126
22,198037
23,118972
23,170573
24,92735
24,94023
24,132870
25,19969
25,106632
26,92426
26,172951
27,2987
27,155097
28,20865
28,190487
29,109460
29,191788
30,94211
30,128951
31,6032
31,95143
32,61859
32,147312
33,76602
33,97212
34,85860
34,127699
34,136661
35,157636
35,192923
36,22241
36,147869
37,91107
37,193136
38,45053
38,137161
38,149148
39,71610
39,130427
40,19029
40,180868
41,113909
41,165766
42,7195
42,171880
43,116029
43,121314
44,45762
44,83810
45,81935
45,178727
46,100317
46,112591
47,150669
47,163500
47,188843
48,20307
48,67682
49,144753
49,173145
50,38625
50,91967
51,55652
51,160601
52,116157
52,192502
53,59284
53,99037
54,132588
54,171803
55,117828
55,177890
56,73272
56,98859
56,147908
57,72377
57,98110
58,20251
58,94820
59,31933
59,68742
60,15675
60,186666
60,196569
61,158384
61,159079
62,119853
62,141545
63,29800
63,63001
64,10961
64,145464
65,40820
65,117928
65,189042
66,82018
66,91247
66,165224
67,103965
67,164886
68,17118
68,144355
69,45303
69,98448
69,126511
69,152592
70,122862
70,129356
71,105134
71,146013
71,170474
72,6800
72,47692
72,162812
73,12734
73,178188
74,9214
74,32175
75,11907
75,46982
76,88286
76,97068
77,78542
77,103393
78,7312
78,108615
79,47562
79,68979
79,174278
79,180557
80,119035
80,127033
81,61105
81,161989
82,83028
82,165846
83,33632
83,87405
83,94459
83,151204
84,29557
84,195228
85,157412
85,195132
86,112001
86,200845
87,34491
87,148277
87,167689
87,183214
88,35316
88,112206
89,10789
89,62147
90,45285
90,166848
91,10622
91,110036
92,9499
92,101616
93,22180
93,185369
94,12370
94,159266
94,172455
95,108069
95,160503
95,178555
96,140843
96,194982
97,84956
97,120244
98,57040
98,180714
99,100739
99,162025
100,37192
100,179601
101,62861
101,107768
101,125576
102,157760
102,184721
103,115251
103,135011
104,140528
104,147206
105,24463
105,52603
105,167554
106,167746
106,177740
107,1703
107,78358
107,187243
108,63793
108,132763
109,78673
109,133822
110,64324
110,174040
111,18184
111,102948
112,89186
112,155795
113,15918
113,102465
114,158756
114,196080
115,26174
115,89072
116,34492
116,59502
117,5735
117,19419
118,107634
118,115731
119,88465
119,98602
120,103653
120,117384
121,6647
121,19740
121,127308
121,141813
122,73759
122,185120
123,21949
123,59766
123,115996
124,23389
124,197909
125,43906
125,172541
126,19314
126,183983
127,784
127,86646
128,75009
128,150319
129,168206
129,196721
130,69779
130,118063
131,64627
131,67580
132,42987
132,157176
132,163480
132,176369
133,106773
133,159999
134,73930
134,144614
134,191436
135,4805
135,50118
136,41103
136,149069
137,70068
137,133914
138,16103
138,33310
139,50305
139,149124
140,14326
140,68284
140,160157
141,74151
141,82514
141,140208
142,32428
142,122558
143,48317
143,48576
143,151241
143,158820
144,159672
144,199443
145,114534
145,125645
146,134715
146,142097
146,148757
147,73560
147,121214
148,6507
148,63305
149,6145
149,45802
149,62268
150,116756
150,157082
151,35146
151,54916
151,119337
152,36897
152,161244
153,54178
153,180874
154,104099
154,107648
155,5854
155,35086
155,170172
156,75669
156,175627
156,188910
157,60211
157,73340
157,90330
158,59237
158,115764
159,54719
159,124788
160,122537
160,164845
160,181087
161,41069
161,91860
161,156021
162,95396
162,111910
163,2622
163,31161
163,153921
164,140497
164,168824
165,27808
165,141909
166,57282
166,172751
167,21988
167,97821
167,103252
168,861
168,127778
169,4192
169,104566
170,112548
170,155027
171,38399
171,43643
172,36676
172,79252
173,89403
173,100151
174,87722
174,189013
175,34836
175,107143
176,42420
176,84915
177,176427
177,192562
178,143697
178,170599
179,1197
179,27742
179,84675
179,130201
180,115593
180,145848
181,77076
181,158144
182,22791
182,24180
182,155979
183,49550
183,152730
184,3637
184,88308
185,89255
185,183202
186,45071
186,93327
187,76777
187,142294
188,3893
188,7715
189,537
189,170310
190,6888
190,86580
191,39702
191,200572
192,57117
192,69313
193,90021
193,132383
194,62174
194,190988
195,74679
195,103213
196,136036
196,163968
197,102657
197,116930
197,161709
197,176601
198,46813
198,125277
199,112671
199,185339
200,4653
200,145432
201,153143
201,199917
202,14546
202,155683
203,164822
203,188780
204,112245
204,120586
205,51441
205,169878
206,131875
206,171447
207,45413
207,100787
208,138347
208,147969
209,62097
209,140914
210,34230
210,78699
211,123028
211,197625
212,35922
212,138422
212,178638
213,82131
213,196675
214,7828
214,161285
215,51784
215,87452
216,24670
216,114664
217,19695
217,127268
218,26339
218,197841
219,134728
219,186346
220,54208
220,98306
221,108095
221,147416
222,27780
222,125320
223,68639
223,128638
224,29208
224,71839
225,25283
225,193975
226,123239
226,194403
227,51320
227,188953
228,28576
228,122514
229,85341
229,88526
230,155344
230,198149
231,53058
231,77361
231,95202
232,73135
232,145470
233,47900
233,101582
234,90126
234,122646
235,19056
235,154634
236,129206
236,186250
237,53951
237,77851
238,87227
238,182105
239,93158
239,148045
239,199354
240,58332
240,180091
240,193143
241,33910
241,157954
242,77468
242,188060
243,54360
243,117162
244,94235
244,109329
245,16657
245,93052
245,186130
246,72980
246,132373
247,19680
247,46693
248,69943
248,149018
249,97962
249,108206
249,118644
250,18128
250,91346
251,11238
251,13601
251,166617
251,188795
252,138806
252,167493
253,114505
253,122692
254,178820
254,199092
255,18579
255,22180
256,67332
256,168889
257,58127
257,119370
257,176572
258,108841
258,133857
258,139911
259,3107
259,138172
259,139003
260,25732
260,28113
260,85720
261,129019
261,143781
262,113243
262,192271
263,63696
263,148607
264,50711
264,161392
265,110075
265,155799
266,8375
266,103432
266,142638
267,59702
267,188059
268,79983
268,139402
269,12733
269,13662
270,65313
270,165322
270,168888
271,66199
271,121758
272,73754
272,136043
273,680
273,151964
273,174947
274,104530
274,104805
275,3879
275,163672
276,171715
276,176339
277,60953
277,165506
278,27509
278,50831
279,126332
279,129887
279,161856
280,52587
280,118907
281,10141
281,68829
282,108637
282,124290
283,1273
283,14667
283,72448
284,66455
284,197802
285,164901
285,197154
286,27618
286,28141
286,75245
287,155191
287,169915
288,98104
288,131660
289,34820
289,138684
290,6306
290,120307
291,54060
291,102855
292,145153
292,174091
293,17640
293,154847
294,69221
294,151634
295,93201
295,135262
296,21058
296,28642
297,16278
297,55898
297,178646
298,6316
298,17636
298,80870
299,112586
299,196594
300,68956
300,151726
301,66914
301,107355
301,153887
302,144918
302,172476
303,116233
303,119181
304,43230
304,71366
305,6945
305,32407
306,22538
306,111111
307,153379
307,191326
308,99024
308,150998
309,25266
309,155453
310,155564
310,181918
311,57046
311,87857
312,47860
312,186390
313,138525
313,174900
314,60338
314,145046
315,28254
315,140218
316,56558
316,133521
317,184947
317,198098
318,39646
318,147035
318,187367
319,4727
319,98510
319,114800
320,73303
320,179149
321,62907
321,92427
321,191624
322,39969
322,78881
323,129280
323,185551
324,8939
324,94271
325,128986
325,190950
326,34759
326,36507
326,143736
327,120055
327,142874
328,114478
328,194885
329,12869
329,89700
329,122027
329,133435
330,58861
330,114841
330,159391
331,10985
331,72074
332,2320
332,16966
333,43720
333,150480
334,145473
334,177578
335,26048
335,33859
336,59882
336,139694
337,132326
337,141350
338,162078
338,172298
339,62920
339,150353
340,4884
340,98984
340,193764
341,34369
341,164748
342,133984
342,197146
343,94966
343,98063
343,160802
344,34753
344,186749
345,36573
345,193409
346,7842
346,118288
347,33705
347,89475
347,115386
348,89649
348,169068
349,76933
349,171559
350,65054
350,150909
351,84946
351,162645
352,66754
352,116070
353,91982
353,147657
354,44089
354,93768
354,148261
355,24481
355,174362
356,41733
356,129702
357,116879
357,158823
357,198017
358,64003
358,77616
359,24030
359,43663
360,45251
360,174048
361,20689
361,43449
362,66335
362,113889
363,34474
363,179205
364,157673
364,158627
365,26366
365,77822
366,33285
366,118393
367,151574
367,177619
368,43795
368,107360
369,54705
369,189459
370,9376
370,106254
370,168526
371,9063
371,111572
372,73633
372,164417
373,70139
373,91924
373,174902
373,196330
374,62305
374,85714
375,11853
375,84442
376,58044
376,143650
376,194110
377,40152
377,197703
377,200506
378,46700
378,105179
379,48601
379,94831
380,101882
380,128868
381,24394
381,69298
382,79211
382,95878
383,80856
383,97015
384,5146
384,187766
385,92156
385,144345
385,160986
386,9500
386,158238
386,188204
387,45676
387,46905
388,122708
388,176820
389,111741
389,149548
389,198258
390,85081
390,117468
391,42473
391,136791
391,189013
392,42945
392,185547
393,90754
393,169069
394,80096
394,159033
395,67895
395,68799
396,36981
396,44871
396,47928
396,140479
397,11119
397,195890
398,171457
398,198641
399,91365
399,133283
400,97691
400,132513
401,82404
401,180185
402,106507
402,125284
403,73398
403,104475
404,27886
