group_id,movie_id,rating,timestamp,split
59,150,0,1996-06-04 19:21:38,train
59,592,0,1996-06-04 19:21:38,train
59,296,0,1996-06-04 19:21:39,train
59,380,0,1996-06-04 19:21:39,train
59,153,0,1996-06-04 19:22:24,train
59,595,1,1996-06-04 19:23:00,train
59,292,0,1996-06-04 19:23:38,train
59,1,1,1996-06-04 19:24:16,train
59,339,1,1996-06-04 19:24:16,train
59,253,0,1996-06-04 19:24:16,train
59,317,0,1996-06-04 19:25:48,train
59,266,0,1996-06-04 19:26:18,train
90,150,1,1996-06-06 19:33:08,train
90,590,1,1996-06-06 19:33:08,train
90,296,0,1996-06-06 19:33:08,train
90,592,0,1996-06-06 19:33:08,train
90,380,0,1996-06-06 19:33:08,train
90,349,1,1996-06-06 19:33:26,train
90,231,0,1996-06-06 19:33:47,train
90,292,1,1996-06-06 19:34:04,train
90,185,0,1996-06-06 19:34:23,train
90,288,0,1996-06-06 19:34:23,train
90,110,1,1996-06-06 19:34:40,train
90,225,0,1996-06-06 19:34:59,train
90,266,1,1996-06-06 19:35:18,train
184,592,0,1996-06-07 07:28:46,train
184,151,0,1996-06-07 07:44:55,train
59,25,1,1996-06-08 05:14:47,train
59,509,1,1996-06-08 05:21:46,train
993,590,0,1996-06-09 03:21:25,train
993,592,0,1996-06-09 03:21:25,train
993,380,0,1996-06-09 03:21:25,train
993,153,1,1996-06-09 03:21:54,train
993,344,0,1996-06-09 03:21:54,train
993,588,0,1996-06-09 03:21:54,train
993,329,0,1996-06-09 03:22:25,train
993,292,1,1996-06-09 03:22:53,train
993,253,0,1996-06-09 03:23:26,train
993,410,0,1996-06-09 03:23:58,train
59,300,1,1996-06-09 18:11:24,train
59,193,0,1996-06-09 18:14:51,train
645,592,0,1996-06-10 16:20:32,train
645,150,0,1996-06-10 16:20:33,train
645,590,0,1996-06-10 16:20:33,train
645,380,0,1996-06-10 16:20:33,train
645,153,0,1996-06-10 16:21:09,train
645,344,0,1996-06-10 16:21:09,train
645,588,0,1996-06-10 16:21:09,train
645,595,0,1996-06-10 16:21:26,train
645,316,0,1996-06-10 16:21:26,train
645,329,0,1996-06-10 16:21:26,train
645,10,0,1996-06-10 16:21:43,train
645,161,0,1996-06-10 16:21:43,train
645,434,0,1996-06-10 16:21:43,train
645,34,1,1996-06-10 16:22:36,train
645,47,1,1996-06-10 16:22:36,train
645,39,0,1996-06-10 16:23:46,train
645,353,0,1996-06-10 16:28:28,train
155,380,0,1996-06-14 18:47:38,train
155,590,0,1996-06-14 18:47:38,train
155,592,0,1996-06-14 18:47:38,train
155,588,0,1996-06-14 18:48:49,train
155,329,1,1996-06-14 18:49:46,train
155,318,0,1996-06-14 18:49:46,train
155,316,0,1996-06-14 18:49:46,train
155,10,0,1996-06-14 18:50:48,train
155,161,0,1996-06-14 18:50:48,train
155,457,1,1996-06-14 18:52:40,train
155,410,0,1996-06-14 18:52:40,train
155,110,0,1996-06-14 18:52:40,train
155,32,0,1996-06-14 18:54:29,train
